Date/Time,CPU Usage %,Temperature C
2024-04-06 22:12:47.389231,18.8,70.1
2024-04-06 22:12:57.539505,3.5,68.1
2024-04-06 22:13:07.678114,4.8,69.6
2024-04-06 22:13:17.814718,3.6,68.6
2024-04-06 22:13:27.963871,3.7,68.6
2024-04-06 22:13:38.096805,3.7,70.1
2024-04-06 22:13:48.225997,1.8,68.1
2024-04-06 22:13:58.358047,3.5,68.1
2024-04-06 22:14:08.487810,4.4,68.1
2024-04-06 22:14:18.626752,4.9,68.1
2024-04-06 22:14:28.768341,3.9,68.6
2024-04-06 22:14:38.899969,3.5,68.1
2024-04-06 22:14:49.020168,3.7,69.1
2024-04-06 22:14:59.164066,2.2,68.6
2024-04-06 22:15:09.490101,4.3,67.6
2024-04-06 22:15:19.625270,3.7,67.6
